,code,name,industry,market_cap,roe,growth,turnover,ret_past,ret_future,roe_mean,roe_std,growth_mean,growth_std,turnover_mean,turnover_std,ret_past_mean,ret_past_std
0,000002.SZ,万科A,房地产,321917332775.651,23.4175,32.4225,13.2515,-5.9896,-7.5485,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
3,000006.SZ,深振业A,房地产,8234969780.6,14.8612,12.5103,29.5324,-9.6296,-10.0,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
7,000011.SZ,深物业A,房地产,6057304183.2135,18.9379,-4.864,86.6291,-7.455,-8.9132,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
9,000014.SZ,沙河股份,房地产,2115887411.63,17.9626,1306.2534,82.0457,-14.923,-7.4357,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
22,000031.SZ,大悦城,房地产,27049246628.82,19.1671,15.536,34.9104,5.0305,-9.1841,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
26,000036.SZ,华联控股,房地产,8606817348.48,21.005,-24.8651,32.3814,1.6173,-3.5809,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
31,000042.SZ,中洲控股,房地产,7519240182.09,6.5279,-31.8523,19.4621,-10.5929,-10.9637,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
33,000046.SZ,泛海控股,房地产,36893024657.6,4.6325,-66.5945,6.8601,-3.1378,-9.4366,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
38,000056.SZ,皇庭国际,房地产,5568966721.6159,1.7006,-22.1296,55.4077,-8.0617,-14.3657,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
39,000058.SZ,深赛格,房地产,6417759193.3411,1.4717,-92.3559,37.3085,-17.8273,4.4068,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
43,000062.SZ,深圳华强,房地产,15479457970.04,15.4378,65.7883,14.434,-3.4638,-1.4619,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
