code,name,industry,market_cap,roe,growth,turnover,ret_past,ret_future,roe_mean,roe_std,growth_mean,growth_std,turnover_mean,turnover_std,ret_past_mean,ret_past_std,roe_score,growth_score,turnover_score,ret_past_score,alpha
000002.SZ,万科A,房地产,321917332775.65,23.42,32.42,13.25,-5.99,-7.55,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,1.48,-0.18,0.74,0.25,0.57
000006.SZ,深振业A,房地产,8234969780.60,14.86,12.51,29.53,-9.63,-10.00,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.43,-0.22,0.36,0.60,0.29
000011.SZ,深物业A,房地产,6057304183.21,18.94,-4.86,86.63,-7.46,-8.91,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.93,-0.26,-0.94,0.39,0.03
000014.SZ,沙河股份,房地产,2115887411.63,17.96,1306.25,82.05,-14.92,-7.44,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.81,2.43,-0.83,1.11,0.88
000031.SZ,大悦城,房地产,27049246628.82,19.17,15.54,34.91,5.03,-9.18,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.96,-0.22,0.24,-0.80,0.05
000036.SZ,华联控股,房地产,8606817348.48,21.00,-24.87,32.38,1.62,-3.58,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,1.18,-0.30,0.30,-0.47,0.18
000042.SZ,中洲控股,房地产,7519240182.09,6.53,-31.85,19.46,-10.59,-10.96,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.59,-0.31,0.59,0.69,0.10
000046.SZ,泛海控股,房地产,36893024657.60,4.63,-66.59,6.86,-3.14,-9.44,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.82,-0.38,0.88,-0.02,-0.08
000056.SZ,皇庭国际,房地产,5568966721.62,1.70,-22.13,55.41,-8.06,-14.37,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-1.18,-0.29,-0.23,0.45,-0.31
000058.SZ,深赛格,房地产,6417759193.34,1.47,-92.36,37.31,-17.83,4.41,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-1.21,-0.44,0.19,1.38,-0.02
000062.SZ,深圳华强,房地产,15479457970.04,15.44,65.79,14.43,-3.46,-1.46,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.50,-0.11,0.71,0.01,0.28
000069.SZ,华侨城A,房地产,65222447249.25,19.05,21.21,25.76,3.25,-10.46,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.94,-0.20,0.45,-0.63,0.14
000402.SZ,金融街,房地产,24598893134.61,10.63,-1.59,12.88,-4.08,-10.94,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.09,-0.25,0.74,0.07,0.12
000506.SZ,中润资源,房地产,3270142518.72,4.09,106.28,129.78,-2.49,-0.85,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.88,-0.03,-1.92,-0.08,-0.73
000514.SZ,渝开发,房地产,4514174662.75,0.84,-55.83,101.85,8.30,-7.48,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-1.28,-0.36,-1.29,-1.11,-1.01
